warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
0.00.910.127 I 
0.00.910.166 I system_info: n_threads = 8 (n_threads_batch = 8) / 10 | MTL : EMBED_LIBRARY = 1 | CPU : NEON = 1 | ARM_FMA = 1 | FP16_VA = 1 | DOTPROD = 1 | LLAMAFILE = 1 | ACCELERATE = 1 | REPACK = 1 | 
0.00.910.893 I winogrande_score : loaded 1267 tasks from prompt.
0.00.910.900 I winogrande_score : tokenizing selected tasks
0.01.018.030 I winogrande_score : calculating winogrande score over selected tasks.
1	100.0000	 -2.933900   -2.727434  2  2
2	100.0000	 -2.891237   -3.085723  1  1
3	66.6667	 -5.671919   -5.788551  1  2
4	75.0000	 -0.693056   -2.393666  1  1
5	80.0000	 -3.519196   -4.648242  1  1
6	83.3333	 -2.442431   -3.409889  1  1
7	85.7143	 -7.317605   -7.383987  1  1
8	87.5000	 -6.546999   -5.910923  2  2
9	88.8889	 -4.210710   -3.987133  2  2
10	90.0000	 -2.123485   -2.807843  1  1
11	81.8182	 -3.958951   -4.007452  1  2
12	83.3333	 -6.261261   -1.417213  2  2
13	84.6154	 -1.166158   -3.468155  1  1
14	85.7143	 -4.207011   -4.534467  1  1
15	86.6667	 -2.708405   -2.370763  2  2
16	87.5000	 -2.798583   -3.275989  1  1
17	88.2353	 -4.595331   -4.543143  2  2
18	83.3333	 -3.931915   -3.113484  2  1
19	84.2105	 -2.098927   -2.738117  1  1
20	85.0000	 -3.606278   -2.299166  2  2
21	80.9524	 -3.775583   -4.143795  1  2
22	77.2727	 -2.353591   -2.447691  1  2
23	78.2609	 -4.533700   -4.432923  2  2
24	79.1667	 -2.770538   -3.405192  1  1
25	80.0000	 -4.471199   -3.958339  2  2
26	80.7692	 -2.141927   -3.691210  1  1
27	77.7778	 -4.656028   -4.511411  2  1
28	78.5714	 -5.799742   -6.079539  1  1
29	79.3103	 -5.302919   -6.783961  1  1
30	80.0000	 -5.031889   -5.420982  1  1
31	80.6452	 -2.011626   -3.935229  1  1
32	81.2500	 -3.291939   -3.834389  1  1
33	78.7879	 -3.958595   -4.130159  1  2
34	79.4118	 -3.746472   -4.191427  1  1
35	77.1429	 -3.990451   -4.027648  1  2
36	75.0000	 -3.479529   -3.782524  1  2
37	72.9730	 -3.042395   -3.245553  1  2
38	73.6842	 -2.809740   -4.614351  1  1
39	74.3590	 -3.930046   -3.635061  2  2
40	72.5000	 -4.310236   -4.453923  1  2
41	73.1707	 -0.993279   -1.739890  1  1
42	73.8095	 -0.663027   -2.244707  1  1
43	74.4186	 -2.389373   -1.866783  2  2
44	75.0000	 -1.819656   -2.024788  1  1
45	75.5556	 -2.557407   -2.424627  2  2
46	76.0870	 -2.712478   -2.940578  1  1
47	76.5957	 -2.922719   -2.579890  2  2
48	77.0833	 -3.113863   -2.639904  2  2
49	75.5102	 -2.260804   -2.379645  1  2
50	74.0000	 -3.990028   -3.981454  2  1
51	72.5490	 -2.135750   -1.750718  2  1
52	73.0769	 -1.941332   -1.493521  2  2
53	73.5849	 -1.680218   -1.959529  1  1
54	72.2222	 -1.967173   -1.985163  1  2
55	72.7273	 -1.692081   -2.012193  1  1
56	73.2143	 -3.334784   -2.533318  2  2
57	73.6842	 -1.999908   -1.305663  2  2
58	74.1379	 -3.036970   -2.877954  2  2
59	74.5763	 -5.068471   -5.279498  1  1
60	75.0000	 -5.080188   -5.878224  1  1
61	73.7705	 -3.498167   -3.606274  1  2
62	74.1935	 -2.943230   -2.697114  2  2
63	74.6032	 -5.974949   -3.051187  2  2
64	73.4375	 -3.475739   -2.364026  2  1
65	73.8462	 -3.153941   -3.148967  2  2
