t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,15098,3735,61,1921,243524139,17193182
1,131,15093,3758,229,1921,243526755,17193182
2,1359,15094,3768,60,1921,243579001,17193182
3,2584,15076,4157,55,1921,243641307,17193182
4,4407,15099,4224,58,1921,243717525,17193182
5,6320,15085,4225,58,1921,243802953,17193182
6,7610,15088,4311,57,1921,243879049,17193182
7,8517,15111,4532,57,1921,243946152,17193182
8,9322,15063,4307,62,1921,243990315,17193182
9,10630,15077,4292,60,1921,244088043,17193182
10,11013,15087,4300,58,1921,244157408,17193182
11,11366,15078,4293,56,1921,244246065,17193182
12,11783,15078,4294,56,1921,244334060,17193182
13,12212,15079,4411,57,1921,244408743,17193182
14,12238,15088,4512,59,1921,244480371,17193182
15,12545,15079,4509,59,1921,244561218,17193182
16,12762,15078,4385,56,1921,244637834,17193182
17,13210,15080,4426,59,1921,244716104,17193182
18,13540,15080,4419,58,1921,244787698,17193182
20,14001,15107,4422,60,1921,244860567,17193182
21,14555,15081,4461,57,1921,244925142,17193182
22,15147,15080,4565,58,1921,244994835,17193182
23,16005,15095,4612,55,1921,245071284,17193182
24,16841,15106,4655,59,1921,245155589,17193182
25,17736,15098,4639,60,1921,245231169,17193182
26,18595,15120,4634,55,1921,245303089,17193182
27,19561,15099,4538,57,1921,245372187,17193182
28,19596,15099,4541,56,1921,245438754,17193182
29,19566,15110,4623,56,1921,245512985,17193182
30,19488,15088,4853,63,1921,245593673,17193182
31,19461,15099,4867,56,1921,245668685,17193182
32,19432,15099,4893,55,1921,245743273,17193182
33,19450,15099,4956,57,1921,245821986,17193182
34,19449,15096,4992,56,1921,245888477,17193182
36,19440,15144,4965,57,1921,245948925,17193182
37,19462,15099,4928,54,1921,246013201,17193182
38,19505,15098,4845,56,1921,246075784,17193182
39,19574,15098,4839,60,1921,246153765,17193182
40,19675,15108,4978,57,1921,246213384,17193182
41,19717,15098,5000,59,1921,246269245,17193182
42,19786,15098,4985,63,1921,246321928,17193182
43,19799,15086,4961,62,1921,246393160,17193182
44,19793,15097,4996,58,1921,246459503,17193182
45,19923,15086,4995,59,1921,246511702,17193182
46,20048,15019,5003,60,1921,246566994,17193182
47,20101,15106,5003,59,1921,246628263,17193182
49,20178,15118,4983,62,1921,246681267,17193182
50,20184,15120,4959,57,1921,246740507,17193182
51,20187,15084,4980,56,1921,246794306,17193182
52,20249,15019,5007,62,1921,246857350,17193182
53,20225,15106,4979,58,1921,246924387,17193182
54,20314,15098,4974,59,1921,246978263,17193182
55,20386,15018,5000,60,1921,247039176,17193182
