t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,2527,3784,83,1922,278834482,17193230
1,0,2526,3782,62,1922,278834638,17193230
2,14,2527,3782,57,1922,278835256,17193230
3,129,2527,3777,224,1922,278836984,17193230
4,3752,2537,3849,60,1922,278911549,17193230
5,8149,2550,3850,61,1922,279036185,17193230
6,10404,2554,3926,56,1922,279106992,17193230
8,12405,2557,3988,62,1922,279214213,17193230
9,14117,2555,4185,61,1922,279325728,17193230
10,15820,2556,4245,58,1922,279441149,17193230
11,17295,2557,4275,54,1922,279559211,17193230
12,18614,2557,4306,61,1922,279675482,17193230
13,19558,2560,4378,63,1922,279783488,17193230
14,20149,2560,4557,55,1922,279874745,17193230
15,20503,2560,4538,55,1922,279962555,17193230
16,20765,2560,4529,56,1922,280058508,17193230
17,21117,2561,4524,61,1922,280163036,17193230
18,21517,2559,4519,54,1922,280274240,17193230
19,21761,2560,4515,61,1922,280384693,17193230
20,21870,2547,4530,59,1922,280497544,17193230
21,21862,2561,4516,59,1922,280611081,17193230
22,21878,2566,4501,58,1922,280725767,17193230
23,21916,2565,4484,59,1922,280811634,17193230
25,21890,2563,4451,59,1922,280901367,17193230
26,21892,2559,4435,59,1922,280992605,17193230
27,21985,2544,4347,55,1922,281109510,17193230
28,22001,2559,4362,57,1922,281174776,17193230
29,21953,2558,4383,61,1922,281237964,17193230
30,21783,2559,4539,54,1922,281317321,17193230
31,21753,2554,4554,56,1922,281409144,17193230
32,21156,2626,4361,42,1922,281484079,17193230
33,20813,2587,4294,58,1922,281534889,17193230
34,20448,2708,4298,98,1922,281603654,17193230
35,20268,2750,4290,53,1922,281660536,17193230
37,20130,2748,4418,63,1922,281728465,17193230
38,19873,2853,4445,63,1922,281764042,17193230
39,19998,2694,4454,57,1922,281839971,17193230
40,20152,2681,4476,57,1922,281906088,17193230
41,20106,2903,4575,60,1922,281964009,17193230
42,19908,3002,4598,58,1922,282020421,17193230
43,19956,2725,4605,55,1922,282101570,17193230
44,20206,2739,4669,59,1922,282177700,17193230
45,20250,2727,4699,54,1922,282245635,17193230
46,20086,2819,4686,57,1922,282281549,17193230
48,19990,2853,4720,58,1922,282336246,17193230
49,19715,2999,4663,58,1922,282388328,17193230
50,19568,3034,4663,60,1922,282447917,17193230
51,19883,2867,4712,60,1922,282521026,17193230
52,19935,2863,4729,57,1922,282590968,17193230
53,20107,2801,4756,60,1922,282665703,17193230
54,20239,2796,4793,60,1922,282735761,17193230
55,20329,2791,4838,55,1922,282803951,17193230
56,20399,2772,4858,56,1922,282872083,17193230
57,20433,2795,4873,59,1922,282948442,17193230
58,20518,2790,4895,55,1922,283023329,17193230
59,20578,2791,4913,56,1922,283107635,17193230
60,20611,2782,4920,59,1922,283181385,17193230
62,20611,2809,4941,57,1922,283258507,17193230
63,20689,2785,4984,54,1922,283330823,17193230
64,20817,2790,5077,61,1922,283412760,17193230
65,20783,2787,5082,53,1922,283501105,17193230
66,20623,2876,5046,55,1922,283582818,17193230
67,20455,2817,4943,63,1922,283668817,17193230
68,20363,2832,4912,60,1922,283756182,17193230
69,20249,2836,4913,60,1922,283824950,17193230
70,19795,3046,4816,59,1922,283882300,17193230
71,19701,2859,4742,57,1922,283954141,17193230
73,19688,2733,4585,58,1922,284028117,17193230
74,19689,2998,4580,61,1922,284102793,17193230
75,19809,2709,4603,61,1922,284170623,17193230
76,19857,2782,4595,54,1922,284259372,17193230
77,19980,2671,4623,53,1922,284341326,17193230
78,20091,2773,4616,60,1922,284408486,17193230
79,20136,2702,4660,57,1922,284481603,17193230
80,20214,2767,4769,57,1922,284551931,17193230
81,20345,2673,4809,57,1922,284649758,17193230
82,20401,2773,4892,61,1922,284724736,17193230
83,20327,2928,4906,57,1922,284799128,17193230
84,20418,2834,4935,53,1922,284868165,17193230
85,20315,2836,4850,62,1922,284942057,17193230
