t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,2531,3037,14973,2348,338923106,17205753
1,128,2518,3034,14827,2348,338925499,17205761
2,4146,2522,3033,11404,2348,339094708,17205763
3,6926,2547,2994,9529,2348,339187748,17205830
4,8098,2538,2994,8500,2348,339252627,17205830
5,9442,2527,2992,7264,2348,339319490,17205838
6,10564,2541,2991,6250,2348,339384574,17205842
7,11700,2540,2989,5216,2348,339450029,17205842
8,12934,2544,2988,4117,2348,339520395,17205842
9,14063,2531,2980,3114,2348,339584061,17205857
10,15249,2547,2978,2092,2348,339649014,17205857
11,16420,2546,2978,1077,2348,339713915,17205857
12,17521,2548,2978,108,2348,339775753,17205857
13,17868,2547,3206,60,2348,339825931,17205857
14,18462,2534,3493,59,2348,339871999,17205857
15,19133,2548,3456,60,2348,339918572,17205893
16,19877,2549,3432,60,2348,339965323,17205893
17,20632,2549,3425,60,2348,340011303,17205893
19,21398,2551,3422,59,2348,340062473,17205893
20,22184,2551,3420,59,2348,340112653,17205893
21,22639,2555,3417,62,2348,340160608,17205893
22,22688,2565,3465,60,2348,340203917,17205897
23,22719,2558,3476,55,2348,340250490,17205897
24,22836,2557,3489,58,2348,340298261,17205917
25,22822,2557,3488,58,2348,340347394,17205921
26,22770,2557,3516,57,2348,340397633,17205929
27,22758,2557,3514,57,2348,340449276,17205929
28,22750,2557,3512,56,2348,340497397,17205929
29,22736,2558,3509,55,2348,340546143,17205929
30,22734,2560,3510,57,2348,340598376,17205929
31,22722,2560,3508,60,2348,340649464,17205929
32,22696,2575,3484,56,2348,340700606,17205929
33,22693,2566,3483,59,2348,340751936,17205929
34,22644,2554,3459,61,2348,340803702,17205929
35,22091,2564,3392,57,2348,340876931,17205929
36,21451,2567,3391,57,2348,340965470,17205929
37,21155,2566,3415,61,2348,341033633,17205929
38,20725,2550,3440,61,2348,341101517,17205929
40,20393,2565,3462,60,2348,341165544,17205929
41,19216,2564,3461,55,2348,341257075,17205929
42,17849,2565,3459,53,2348,341355822,17205929
43,16349,2552,3458,55,2348,341479172,17205929
44,14611,2566,3457,62,2348,341606337,17205929
45,13690,2565,3460,61,2348,341721337,17205929
46,13550,2565,3459,62,2348,341832720,17205929
47,13450,2565,3446,55,2348,341935087,17205929
48,13396,2566,3432,56,2348,342024608,17205929
49,12985,2563,3427,61,2348,342109269,17205929
50,12850,2550,3429,54,2348,342216382,17205929
51,12778,2563,3428,58,2348,342323966,17205929
52,12850,2563,3430,55,2348,342422819,17205929
53,12729,2563,3432,60,2348,342517118,17205929
54,12761,2565,3442,58,2348,342615750,17205929
55,12599,2565,3442,57,2348,342727658,17205929
56,12730,2565,3435,60,2348,342823898,17205929
57,12510,2566,3432,61,2348,342981528,17205929
58,12333,2550,3431,55,2348,343102967,17205929
60,12171,2564,3430,59,2348,343230231,17205929
61,12302,2564,3429,63,2348,343339935,17205929
62,12288,2564,3415,59,2348,343462275,17205929
63,12238,2574,3409,57,2348,343563826,17205929
64,12104,2578,3408,56,2348,343681970,17205929
65,12223,2567,3406,68,2348,343790162,17205929
66,12222,2566,3405,60,2348,343910568,17205929
67,12237,2567,3405,56,2348,344045094,17205929
68,12279,2565,3394,62,2348,344147120,17205929
69,12156,2509,3391,57,2348,344280400,17205929
70,12143,2563,3390,58,2348,344393864,17205929
71,12323,2563,3389,54,2348,344509761,17205929
72,12316,2550,3383,55,2348,344625639,17205933
73,12143,2563,3382,58,2348,344741297,17205933
74,11847,2562,3381,61,2348,344874704,17205933
75,12060,2563,3381,62,2348,344976847,17205933
76,12114,2564,3265,62,2348,345082813,17205937
77,11857,2564,3264,58,2348,345209778,17205937
78,11853,2566,3264,59,2348,345334329,17205937
79,11951,2564,3264,59,2348,345443922,17205937
81,11921,2552,3264,55,2348,345565936,17205937
82,11963,2563,3261,62,2348,345678271,17205937
83,11855,2551,3261,56,2348,345801143,17205937
84,12023,2563,3261,58,2348,345910624,17205937
85,11943,2563,3260,60,2348,346011874,17205937
86,11860,2563,3258,58,2348,346132370,17205957
87,11856,2564,3258,56,2348,346248525,17205957
88,11633,2552,3256,60,2348,346376660,17205957
89,11707,2566,3233,60,2348,346487471,17205957
90,11671,2564,3234,62,2348,346586312,17205957
91,11714,2564,3234,60,2348,346701832,17205957
92,11614,2549,3233,60,2348,346832928,17205957
93,11648,2562,3233,60,2348,346961026,17205957
94,11756,2563,3233,62,2348,347064921,17205957
95,11447,2562,3231,56,2348,347185797,17205957
96,11489,2561,3231,60,2348,347291573,17205957
