t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,1678,1361,3708,1054,70089791,165368
1,126,1687,1358,3529,1054,70093839,165368
2,906,1678,1357,2744,1054,70118873,165368
3,1783,1678,1356,1867,1054,70146961,165368
4,2666,1677,1356,982,1054,70175262,165368
6,3561,1678,1355,85,1054,70203902,165368
7,4299,1661,1354,58,1054,70227564,165368
8,4396,1702,1910,60,1054,70248920,165368
9,2889,1704,3867,58,1054,70266665,165368
10,3246,1703,4138,58,1054,70286726,165368
11,3575,1704,4440,56,1054,70309948,165368
12,3492,1665,4637,62,1054,70332242,165368
13,5608,1680,2929,56,1054,70388437,165368
14,7271,1675,1457,61,1054,70430164,165368
15,8302,1675,1455,61,1054,70506461,165368
16,9090,1685,1461,58,1054,70588891,165368
17,9632,1666,1716,73,1054,70668968,165368
18,8180,1685,3772,54,1054,70740093,165368
19,7917,1679,4529,56,1054,70804236,165368
20,8146,1678,4304,58,1054,70860491,165368
21,8387,1687,4042,59,1054,70931016,165368
22,8612,1688,3791,56,1054,70999046,165368
23,8791,1688,3635,59,1054,71072555,165368
24,9214,1689,3188,62,1054,71117554,165368
25,10378,1690,1988,59,1054,71144631,165368
26,10709,1690,1670,60,1054,71194185,165368
28,10701,1678,1728,62,1054,71245149,165368
29,10725,1677,1718,58,1054,71286015,165368
30,10732,1680,1734,60,1054,71337264,165368
31,10734,1678,1785,61,1054,71396664,165368
32,10760,1677,1748,60,1054,71447567,165368
33,10621,1677,1929,56,1054,71495670,165368
34,10763,1687,1741,59,1054,71536601,165368
35,10773,1671,1742,61,1054,71578436,165368
36,10708,1681,1721,61,1054,71622460,165368
37,10735,1677,1678,61,1054,71673920,165368
38,10734,1677,1683,62,1054,71732609,165368
39,10716,1680,1678,59,1054,71788711,165368
40,10778,1678,1732,64,1054,71840186,165368
41,10289,1680,2173,69,1054,71876322,165368
42,10434,1677,2133,61,1054,71920751,165368
43,10570,1674,1974,56,1054,71971547,165368
45,10744,1652,1836,56,1054,72031144,165368
46,10747,1652,1834,62,1054,72083512,165368
47,10695,1688,1757,60,1054,72134127,165368
48,10556,1687,1807,61,1054,72184781,165368
49,10488,1687,1898,60,1054,72239189,165368
50,10298,1688,2076,56,1054,72282996,165368
51,2808,1688,1657,3844,1054,72315252,165368
