t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,2535,3533,222,1921,199192193,17193162
1,127,2530,3531,238,1921,199194803,17193162
2,4449,2541,3535,63,1921,199271527,17193162
3,7622,2550,3536,54,1921,199368694,17193162
4,10283,2555,3561,59,1921,199441632,17193162
6,11699,2652,3555,57,1921,199529410,17193162
7,12926,2629,3567,56,1921,199605808,17193162
8,14130,2578,3646,62,1921,199690700,17193162
9,15246,2558,3756,57,1921,199780921,17193162
10,16358,2558,3736,56,1921,199875666,17193162
11,17455,2546,3736,63,1921,199967798,17193162
12,18446,2559,3792,59,1921,200057707,17193162
13,19316,2560,3854,56,1921,200142555,17193162
14,20290,2559,3872,55,1921,200229502,17193162
15,20926,2560,3925,60,1921,200313449,17193162
16,21388,2560,4097,57,1921,200393393,17193162
17,21828,2563,4142,62,1921,200476515,17193162
18,22106,2564,4076,56,1921,200569129,17193162
19,22070,2564,4059,58,1921,200667804,17193162
20,21938,2660,4030,58,1921,200753260,17193162
22,21980,2584,4058,59,1921,200844882,17193162
23,22055,2586,4065,54,1921,200946703,17193162
24,22056,2565,4059,55,1921,201038656,17193162
25,22036,2570,4079,56,1921,201139207,17193162
26,22111,2567,4003,55,1921,201226555,17193162
27,22113,2574,4002,59,1921,201301218,17193162
28,22111,2561,4001,57,1921,201376020,17193162
29,22100,2573,3997,59,1921,201436891,17193162
30,22177,2566,4002,55,1921,201496574,17193162
31,22187,2567,4017,56,1921,201559859,17193162
32,22223,2567,4045,55,1921,201620645,17193162
33,22153,2572,4130,59,1921,201696424,17193162
34,22185,2566,4151,60,1921,201781061,17193162
35,21877,2573,4049,61,1921,201840616,17193162
36,21764,2664,4019,59,1921,201914770,17193162
37,21800,2595,4019,61,1921,202002668,17193162
38,21787,2560,4008,57,1921,202082062,17193162
40,21840,2566,4026,58,1921,202140355,17193162
41,21936,2567,4300,54,1921,202196356,17193162
42,21973,2567,4340,55,1921,202260975,17193162
43,21924,2565,4337,62,1921,202337290,17193162
44,21882,2574,4329,59,1921,202420544,17193162
45,21829,2568,4312,57,1921,202493820,17193162
46,21838,2574,4318,57,1921,202561093,17193162
47,21905,2574,4355,54,1921,202623176,17193162
48,21912,2572,4347,55,1921,202688760,17193162
49,21928,2573,4341,54,1921,202757135,17193162
50,21926,2575,4340,57,1921,202837137,17193162
51,21811,2655,4311,60,1921,202908146,17193162
52,21839,2586,4315,58,1921,202980625,17193162
53,21836,2571,4311,59,1921,203052483,17193162
54,21862,2566,4307,57,1921,203114466,17193162
55,21952,2567,4341,58,1921,203184672,17193162
57,22031,2567,4368,57,1921,203246265,17193162
58,22032,2574,4369,57,1921,203312611,17193162
59,22044,2559,4376,55,1921,203379748,17193162
60,22062,2568,4379,60,1921,203451724,17193162
61,22054,2572,4378,60,1921,203521518,17193162
62,22019,2573,4371,61,1921,203597569,17193162
63,22018,2573,4384,61,1921,203665577,17193162
64,22039,2551,4387,56,1921,203731361,17193162
65,22069,2552,4411,59,1921,203798795,17193162
66,21994,2658,4409,59,1921,203868306,17193162
67,22014,2587,4409,56,1921,203942531,17193162
68,21999,2567,4397,55,1921,204019323,17193162
69,21991,2568,4394,59,1921,204094808,17193162
70,21781,2567,4358,56,1921,204173081,17193162
71,21798,2567,4362,61,1921,204253042,17193162
72,21869,2569,4378,60,1921,204326125,17193162
73,21889,2560,4395,57,1921,204396622,17193162
74,21926,2567,4379,55,1921,204465823,17193162
76,21792,2567,4291,59,1921,204534306,17193162
