t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,1677,1290,2892,1054,40765485,165340
1,0,1686,1289,2842,1054,40765615,165340
2,0,1677,1288,2841,1054,40765738,165340
3,0,1677,1287,2838,1054,40765762,165340
4,126,1679,1277,2670,1054,40768788,165340
5,792,1679,1272,1968,1054,40790944,165340
7,1724,1679,1271,1047,1054,40820322,165340
8,2616,1689,1264,137,1054,40849221,165340
9,3383,1667,1264,60,1054,40873816,165340
10,4119,1677,1263,60,1054,40897485,165340
11,3395,1668,2498,57,1054,40914279,165340
12,3139,1669,3449,62,1054,40936734,165340
13,3274,1669,3939,55,1054,40958376,165340
14,3578,1670,4313,60,1054,40981253,165340
15,3661,1680,4733,63,1054,41002005,165340
16,5516,1669,3616,60,1054,41044049,165340
17,6795,1691,2680,61,1054,41087801,165340
18,8321,1682,1524,58,1054,41117021,165340
19,8564,1691,1506,61,1054,41187696,165340
20,9266,1682,1504,61,1054,41259062,165340
22,10139,1683,1522,58,1054,41332718,165340
23,10544,1684,1797,60,1054,41396949,165340
24,8862,1693,3472,69,1054,41450778,165340
25,7735,1684,4807,60,1054,41504352,165340
26,7820,1693,4669,61,1054,41563666,165340
27,8046,1693,4385,57,1054,41624180,165340
28,8334,1685,4089,57,1054,41679821,165340
29,8560,1685,3820,62,1054,41742148,165340
30,8468,1685,4019,58,1054,41792046,165340
31,7910,1694,4559,62,1054,41840810,165340
32,8000,1676,4405,60,1054,41901468,165340
33,8642,1695,3618,60,1054,41943298,165340
35,9580,1684,2686,56,1054,41974106,165340
36,10679,1683,1585,61,1054,41996884,165340
37,10711,1683,1604,56,1054,42036470,165340
38,10694,1691,1640,58,1054,42067997,165340
39,10657,1682,1760,55,1054,42101340,165340
40,10646,1682,1775,63,1054,42130053,165340
41,10622,1678,1760,59,1054,42158053,165340
42,10463,1690,1926,57,1054,42192067,165340
43,10613,1689,1773,56,1054,42211638,165340
45,10698,1679,1818,55,1054,42243913,165340
46,9797,1680,2513,60,1054,42262928,165340
47,10577,1688,1737,63,1054,42284763,165340
48,10546,1688,1734,59,1054,42305452,165340
49,10449,1679,1822,62,1054,42352135,165340
50,10623,1679,1769,60,1054,42390240,165340
51,10373,1681,2018,54,1054,42424367,165340
52,10598,1689,1841,60,1054,42453398,165340
53,10358,1679,2039,61,1054,42474919,165340
54,10628,1679,1740,59,1054,42500894,165340
55,10627,1687,1751,60,1054,42527384,165340
57,10533,1678,1891,42,1054,42563097,165340
58,10143,1688,2267,58,1054,42589572,165340
59,10667,1678,1752,60,1054,42614857,165340
60,10681,1679,1789,58,1054,42658729,165340
61,10401,1678,1991,59,1054,42688216,165340
62,9977,1679,2526,57,1054,42713640,165340
63,10451,1678,1907,56,1054,42722908,165340
64,10444,1678,2002,56,1054,42750418,165340
65,10636,1687,1744,62,1054,42779614,165340
66,10460,1688,1904,56,1054,42817091,165340
68,10640,1678,1774,54,1054,42855640,165340
69,10550,1679,1810,54,1054,42892745,165340
70,10320,1668,2081,55,1054,42932161,165340
71,10704,1674,1804,57,1054,42966605,165340
72,10502,1652,2035,53,1054,43002001,165340
73,10664,1688,1775,56,1054,43017138,165340
74,10407,1678,2036,57,1054,43047676,165340
75,10353,1679,2052,58,1054,43079475,165340
76,10180,1680,2230,55,1054,43103611,165340
78,10630,1688,1779,61,1054,43120589,165340
79,10630,1687,1752,55,1054,43150840,165340
80,10467,1668,1980,56,1054,43190306,165340
81,10619,1687,1767,55,1054,43211830,165340
82,10632,1687,1771,58,1054,43236904,165340
83,10652,1678,1778,59,1054,43269946,165340
84,10462,1687,1996,56,1054,43309070,165340
85,10651,1687,1773,60,1054,43337579,165340
86,10041,1679,2403,62,1054,43366856,165340
87,10644,1687,1734,56,1054,43381208,165340
88,10461,1677,1971,63,1054,43410636,165340
90,10549,1678,1893,63,1054,43439252,165340
91,10587,1678,2056,59,1054,43470805,165340
