t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,2447,3831,59,1923,298553150,17193230
1,0,2506,3829,60,1923,298553819,17193230
2,10,2493,3828,55,1923,298554444,17193230
3,128,2507,3828,235,1923,298556314,17193230
4,4104,2517,3852,57,1923,298619353,17193230
5,6455,2524,3849,58,1923,298698986,17193230
6,9593,2460,3872,56,1923,298783391,17193230
7,11153,2544,3885,60,1923,298856001,17193230
8,12824,2536,3877,55,1923,298938963,17193230
9,14256,2534,3883,55,1923,299019308,17193230
10,15458,2477,3891,57,1923,299104364,17193230
11,16540,2536,3889,60,1923,299191921,17193230
12,17536,2536,4159,56,1923,299268069,17193230
13,18407,2478,4297,55,1923,299347258,17193230
15,19415,2536,4400,60,1923,299428150,17193230
16,20340,2537,4462,56,1923,299514364,17193230
17,21195,2538,4463,59,1923,299598634,17193230
18,21376,2525,4730,55,1923,299667000,17193230
19,21861,2481,4657,60,1923,299748445,17193230
20,21959,2540,4645,61,1923,299831595,17193230
21,21945,2527,4640,55,1923,299924127,17193230
22,21935,2541,4635,61,1923,300016990,17193230
23,21945,2542,4618,55,1923,300114298,17193230
24,21936,2541,4611,60,1923,300207545,17193230
25,21914,2542,4630,56,1923,300299083,17193230
26,21895,2542,4615,61,1923,300386334,17193230
27,21970,2530,4593,61,1923,300474380,17193230
28,21938,2543,4579,58,1923,300552840,17193230
29,21934,2542,4573,56,1923,300626604,17193230
30,21950,2540,4569,56,1923,300694735,17193230
31,21945,2539,4567,62,1923,300752548,17193230
32,21923,2538,4608,56,1923,300814806,17193230
34,21919,2538,4605,57,1923,300875091,17193230
35,21899,2478,4621,60,1923,300950815,17193230
36,21867,2537,4610,59,1923,301028352,17193230
37,21864,2536,4609,57,1923,301101769,17193230
38,21836,2536,4663,57,1923,301174360,17193230
39,21842,2536,4681,62,1923,301240247,17193230
40,21848,2523,4698,57,1923,301309549,17193230
41,21839,2478,4687,57,1923,301374186,17193230
42,21836,2537,4687,61,1923,301431548,17193230
43,21766,2537,4755,57,1923,301505742,17193230
44,21662,2537,5084,55,1923,301558741,17193230
45,21676,2536,5079,58,1923,301613302,17193230
46,21625,2537,5065,58,1923,301678711,17193230
47,21602,2536,5057,58,1923,301752543,17193230
48,21602,2536,5050,55,1923,301818676,17193230
49,21392,2536,5005,48,1923,301897718,17193230
