t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,15049,4169,262,1921,252183964,17193182
1,130,15034,4167,233,1921,252187236,17193182
2,5045,15058,4198,59,1921,252249892,17193182
3,7936,15063,4213,57,1921,252305812,17193182
4,8791,15088,4485,53,1921,252370854,17193182
5,9664,15052,4497,62,1921,252437075,17193182
6,10504,15068,4500,62,1921,252512468,17193182
7,11036,15069,4503,61,1921,252583721,17193182
9,11709,15115,4589,57,1921,252659815,17193182
10,12392,15070,4582,59,1921,252731757,17193182
11,12866,15072,4592,56,1921,252795486,17193182
12,13353,15097,4621,54,1921,252853950,17193182
13,13866,15084,4620,56,1921,252916152,17193182
14,14694,15092,4648,61,1921,252983410,17193182
15,15547,15115,4698,56,1921,253045882,17193182
16,16576,15083,4693,55,1921,253105674,17193182
17,17151,15106,4617,56,1921,253164714,17193182
18,17095,15121,4592,61,1921,253229468,17193182
19,17117,15094,4599,58,1921,253294224,17193182
20,17131,15116,4643,56,1921,253358687,17193182
21,17199,15093,4776,54,1921,253419476,17193182
22,17197,15086,4917,57,1921,253475798,17193182
23,17365,15096,4856,56,1921,253534563,17193182
24,17440,15096,4946,64,1921,253596059,17193182
25,17645,15096,5050,58,1921,253649164,17193182
27,17724,15141,5034,62,1921,253699566,17193182
28,17775,15119,5014,55,1921,253742886,17193182
29,17882,15095,5005,60,1921,253785933,17193182
30,18035,15097,4989,56,1921,253842782,17193182
31,18294,15097,4996,57,1921,253887857,17193182
32,18563,15119,5034,61,1921,253924384,17193182
33,18808,15081,5053,58,1921,253975206,17193182
34,18858,15096,5008,61,1921,254026918,17193182
35,18899,15119,5010,59,1921,254070755,17193182
36,18922,15097,4985,58,1921,254118182,17193182
37,19150,15097,5020,64,1921,254164088,17193182
38,19283,15121,5048,55,1921,254213757,17193182
39,19360,15096,5036,59,1921,254262663,17193182
40,19431,15097,5035,59,1921,254308496,17193182
41,19485,15097,5037,62,1921,254361076,17193182
43,19538,15141,5065,61,1921,254426502,17193182
44,19681,15096,5082,61,1921,254484704,17193182
45,19853,15096,5096,55,1921,254541583,17193182
46,19815,15105,5069,60,1921,254599761,17193182
47,19890,15084,5096,58,1921,254653969,17193182
48,19929,15097,5100,55,1921,254708285,17193182
50,19967,15097,5107,61,1921,254764565,17193182
51,19959,15096,5037,56,1921,254819701,17193182
52,20017,15097,5065,63,1921,254873604,17193182
53,20072,15096,5115,57,1921,254928814,17193182
54,20101,15097,5124,55,1921,254984995,17193182
55,20148,15096,5122,57,1921,255036402,17193182
56,20115,15097,5083,59,1921,255088945,17193182
57,20128,15120,5098,58,1921,255146080,17193182
58,20152,15083,5099,57,1921,255204346,17193182
59,20233,15096,5107,59,1921,255258046,17193182
60,20193,15098,5069,63,1921,255309917,17193182
61,20188,15118,5051,57,1921,255357699,17193182
62,20262,15096,5082,60,1921,255408789,17193182
63,20339,15097,5126,57,1921,255460061,17193182
65,20395,15119,5136,62,1921,255520419,17193182
66,20342,15142,5077,55,1921,255579186,17193182
67,20440,15095,5007,60,1921,255634057,17193182
68,20423,15094,4996,58,1921,255679073,17193182
69,20410,15096,5033,62,1921,255735344,17193182
70,20404,15097,5026,55,1921,255791213,17193182
71,20457,15093,5027,56,1921,255840343,17193182
72,20439,15119,5032,62,1921,255883646,17193182
73,20455,15097,5040,61,1921,255937615,17193182
