t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,2533,3695,294,1921,219402745,17193166
1,127,2533,3685,145,1921,219405278,17193166
2,1404,2536,3725,57,1921,219415586,17193166
3,5780,2549,3701,62,1921,219512288,17193166
4,9068,2556,3697,57,1921,219611241,17193166
5,11655,2560,3694,57,1921,219680969,17193166
6,13485,2561,3711,59,1921,219765699,17193166
7,14872,2563,3736,55,1921,219850303,17193166
8,16222,2563,3923,56,1921,219939756,17193166
9,17432,2563,3928,58,1921,220031690,17193166
10,18406,2564,3929,60,1921,220116234,17193166
11,18945,2661,3946,62,1921,220197461,17193166
12,19579,2585,3942,63,1921,220272934,17193166
13,20262,2565,3968,56,1921,220354489,17193166
14,20856,2565,4082,58,1921,220431254,17193166
15,21530,2567,4058,63,1921,220518888,17193166
16,22169,2565,4084,59,1921,220598551,17193166
17,22266,2566,4188,54,1921,220681928,17193166
18,22251,2566,4180,54,1921,220774576,17193166
19,22250,2568,4175,59,1921,220856547,17193166
21,22306,2569,4207,55,1921,220941392,17193166
22,22317,2570,4238,58,1921,221034892,17193166
23,22303,2570,4243,55,1921,221134604,17193166
24,22196,2571,4247,55,1921,221229080,17193166
25,22084,2578,4355,59,1921,221319992,17193166
26,22040,2667,4281,58,1921,221407586,17193166
27,22049,2590,4267,59,1921,221485617,17193166
28,22070,2570,4223,58,1921,221565439,17193166
29,22092,2570,4195,55,1921,221643340,17193166
30,22082,2571,4213,58,1921,221716173,17193166
31,22114,2571,4205,59,1921,221787040,17193166
32,22080,2571,4295,63,1921,221860061,17193166
33,22147,2572,4304,55,1921,221935036,17193166
34,22179,2571,4333,62,1921,221997857,17193166
35,22163,2572,4323,55,1921,222094764,17193166
36,22075,2576,4278,61,1921,222179004,17193166
37,22057,2577,4271,55,1921,222269120,17193166
38,22057,2575,4269,56,1921,222361956,17193166
39,22099,2571,4304,62,1921,222427555,17193166
41,21917,2666,4391,58,1921,222509781,17193166
42,21647,2668,4665,60,1921,222576799,17193166
43,21689,2576,4674,59,1921,222654771,17193166
44,21681,2577,4671,63,1921,222738971,17193166
45,21672,2576,4667,57,1921,222820660,17193166
46,21753,2574,4683,59,1921,222886308,17193166
47,21775,2570,4911,55,1921,222945956,17193166
48,21868,2574,4764,55,1921,223022362,17193166
49,21867,2575,4762,58,1921,223091496,17193166
50,21871,2575,4763,59,1921,223174986,17193166
51,21869,2568,4762,55,1921,223259842,17193166
52,21795,2570,4741,59,1921,223342595,17193166
53,21786,2569,4735,57,1921,223418353,17193166
54,21788,2569,4734,59,1921,223488095,17193166
55,21787,2570,4778,57,1921,223552563,17193166
56,21690,2672,4719,62,1921,223626246,17193166
57,21695,2597,4717,59,1921,223705026,17193166
58,21670,2575,4686,61,1921,223765523,17193166
60,21677,2576,4682,60,1921,223845641,17193166
61,21708,2568,4693,58,1921,223919187,17193166
62,21747,2576,4692,55,1921,223987705,17193166
63,21773,2570,4691,63,1921,224059117,17193166
64,21313,2779,4603,62,1921,224143096,17193166
65,21266,2598,4674,56,1921,224228049,17193166
66,21229,2597,4716,55,1921,224293905,17193166
67,21278,2576,4703,57,1921,224364408,17193166
68,21451,2577,4627,55,1921,224452745,17193166
69,21579,2571,4650,61,1921,224529580,17193166
70,21638,2569,4697,57,1921,224600371,17193166
71,21489,2656,4751,61,1921,224683023,17193166
72,21590,2589,4708,60,1921,224758997,17193166
73,21631,2569,4686,60,1921,224839355,17193166
74,21649,2571,4677,59,1921,224932268,17193166
75,21646,2572,4675,58,1921,225010913,17193166
76,21728,2571,4689,60,1921,225093883,17193166
78,21714,2572,4694,58,1921,225166629,17193166
79,21656,2570,4779,58,1921,225232299,17193166
80,21687,2571,4670,55,1921,225306119,17193166
81,21692,2571,4674,57,1921,225381607,17193166
82,7976,2534,4663,736,1921,225433195,17193166
